id,approximation,detail_level_1,detail_level_2,detail_level_3,detail_level_4
tt10314450,[2.34514683 0.13799483],[2.33424833 0.05472044],[4.03530636 0.53392762 0.20359308 0.        ],"[ 1.59293804 -1.15181697 -0.22991995 -0.78610628 -0.29186709 -0.10620604
  0.        ]","[ 3.18760824e+00 -2.31598275e+00  2.46041209e+00 -2.11949139e+00
  1.20546329e-01  6.47379095e-01 -5.32788882e-01 -1.61425292e-02
 -1.48270260e-01  2.53139717e-01 -7.87169417e-02  9.59746696e-04
  0.00000000e+00]"
tt10327252,[ 3.18630036 -5.87909778],[5.74315775 0.27586775],[3.55306078 0.88587343 0.21370209 0.        ],"[ 3.34688437  0.81295816 -0.00931465 -0.06312665 -0.02612143  0.00767097
  0.        ]","[ 2.23889954 -0.39812388  1.49632745 -0.66045845  0.3153061  -0.34726604
  0.10776946  0.06083627  0.04786968  0.10375804  0.01382787  0.0625852
  0.        ]"
tt10341196,[ 2.18566915 -3.90422465],[5.55228846 0.02390221],[4.50632367 0.2130631  0.02267635 0.        ],"[ 5.09068449e+00  1.35410246e+00  4.95810737e-02  6.02101860e-03
 -6.00982711e-03 -2.14876500e-03  0.00000000e+00]","[ 0.94127221  0.09757833  0.9689341   0.17458532  0.06566288 -0.03867364
  0.01994616  0.00234637 -0.00240968  0.01738217  0.00189134  0.0060064
  0.        ]"
tt10342730,[ 2.65743656 -4.82910083],[5.14147255 0.13470323],[3.10567037 0.86072884 0.11313399 0.        ],"[ 3.62822715  1.05196244  0.3121004   0.07220283 -0.00513732  0.02689642
  0.        ]","[ 3.98050859 -1.07916861  1.89697329 -0.74769584  0.62435004 -0.12670903
  0.03521337  0.0216734   0.02264904  0.04890857  0.01149467  0.01664996
  0.        ]"
tt10362466,[ 1.87152454 -3.34301494],[4.45770188 0.02039169],[3.72449916 0.39587823 0.01457134 0.        ],"[ 4.60947462e+00  1.08371203e-01  3.70464351e-02  2.75349282e-02
 -2.99877743e-03 -1.52245624e-03  0.00000000e+00]","[ 4.98935652e+00 -6.33396476e-01  8.00977734e-01 -5.26536375e-01
  9.91285929e-02 -4.79549248e-02  1.61372128e-02  9.79759348e-03
  4.40402371e-03  1.23421405e-02 -2.44667984e-03  6.51360543e-03
  0.00000000e+00]"
tt10366206,[ 2.28901395 -4.34049067],[4.9449672  0.34859898],[3.76939134 0.34592389 0.20935805 0.        ],"[ 4.407607    0.6665696  -0.12293468 -0.33828173 -0.23668579 -0.05082407
  0.        ]","[ 3.92419449 -0.43736418  1.64099794 -0.70497068  0.28830557 -0.37320047
  0.08269146  0.00930764 -0.00579099  0.22125562  0.01144054  0.13416999
  0.        ]"
tt10370710,[-1.15941855 -0.51046902],[0.64827034 0.40410781],[-2.02735561 -0.35113734  0.17831103  0.        ],"[-0.50599224 -2.12902584 -3.48223277 -2.62489921 -1.01164238 -0.93559827
  0.        ]","[ 0.89554471 -2.06142058  1.54984034 -3.49267261  2.20948252 -2.59018194
  0.09062286  0.15413253 -0.44368454  1.72902002 -0.63055633  0.94515196
  0.        ]"
tt10403420,[ 0.32640841 -0.13867779],[0.83856997 0.00846614],[-1.20436916  0.55869985 -0.53561769  0.        ],"[ 1.69962061  1.71463138 -2.07247685 -1.75046036 -1.49515165 -0.12752692
  0.        ]","[ 0.72547283 -0.75613401  1.86391633 -1.56543644  2.42456525 -3.97061374
  3.06243579 -2.73646869  0.6710577  -0.54948282  0.14298466  0.10948251
  0.        ]"
tt1043726,[ 2.21747908 -3.97748663],[5.10882565 0.04538776],[3.53415411e+00 3.66440575e-01 1.25569420e-03 0.00000000e+00],"[ 4.42400991  1.29498214 -0.02653438 -0.05728346 -0.01638366 -0.04587116
  0.        ]","[ 4.09866092e+00 -5.73730026e-01  1.45267691e+00 -4.38173374e-01
  2.12896460e-01 -1.64474640e-01  2.81983476e-02  7.26740624e-04
  1.15355494e-02  1.91625223e-02 -1.48391002e-02  5.19464866e-02
  0.00000000e+00]"
tt10473036,[ 2.21883799 -4.31240025],[4.42882927 0.47288492],[ 2.4831144   0.87318818 -0.0937074   0.        ],"[ 3.77496694  1.83259283  0.25248042 -0.47476705 -0.31412142 -0.14542319
  0.        ]","[ 3.81622735 -1.10325131  2.40008916 -0.65446806  0.75742037 -0.45207766
  0.0562529  -0.03366833 -0.01710048  0.20126596 -0.04539461  0.32882346
  0.        ]"
tt10515926,[ 2.57218046 -4.89094512],[5.49984627 0.4090884 ],[2.17681444 1.03523582 0.049261   0.        ],"[ 2.81402001  0.84735565  0.85486852 -0.18445304 -0.35700563 -0.19456356
  0.        ]","[ 3.77972273 -1.60955238  2.510589   -1.25444497  0.32140191  0.31177013
 -0.0097638   0.08599724 -0.03372272  0.29814328 -0.03848121  0.21309314
  0.        ]"
tt1051904,[ 2.87814918 -5.50199161],[3.98457054 0.49536251],[2.0593856  0.60601356 0.28027125 0.        ],"[ 3.66186481  0.78204169 -0.50513959 -0.64862743 -0.31963043  0.05498233
  0.        ]","[ 3.53538103 -1.43014304  2.8970016  -1.55301662  0.7252734  -1.06472626
 -0.23851165  0.06976787  0.0227558   0.16834359  0.03129614  0.13986011
  0.        ]"
tt10545296,[ 2.71634953 -5.29017817],[5.65022012 0.59285873],[4.19998317 0.59885236 0.03712804 0.        ],"[ 1.99523648  0.78809067 -0.31982817 -0.398853    0.01075484  0.1519115
  0.        ]","[ 3.02400291 -0.91086903  2.1071888  -1.15412204  0.39133581 -0.60726454
  0.08895427  0.01798672  0.02123179  0.0848714   0.02294792  0.08436905
  0.        ]"
tt10633456,[ 0.51781706 -5.33653437],[0.56479183 4.76228303],[-0.28687713  0.86611721  1.26451318  0.        ],"[ 1.27871884 -0.80594593 -2.48460445 -2.87081409 -2.03386812 -1.60454229
  0.        ]","[ 1.32063435 -1.84199032  1.89584418 -1.50342786  0.22148438 -0.42584376
 -0.2349162   0.64106011 -0.9742216   4.71583351 -2.77559009  4.118264
  0.        ]"
tt10638522,[ 3.48219162 -7.00101344],[5.17540782 1.04200786],[2.46939752 1.1169901  0.75534154 0.        ],"[ 2.9490846   0.35451993 -0.00624228 -0.66059306 -0.65609298 -0.08527909
  0.        ]","[ 3.10935145 -0.69907469  1.58873733 -1.26969227  0.4749156  -0.58980164
  0.24034397 -0.19934794  0.05022854  0.18870727  0.02905016  0.32241935
  0.        ]"
tt10648342,[ 2.22089148 -4.13982934],[4.72320259 0.24631434],[3.94665011 0.4355126  0.09150779 0.        ],"[ 4.42082441e+00  7.76757139e-01 -2.77616886e-03 -9.62355176e-02
 -8.06903658e-02 -5.53667100e-02  0.00000000e+00]","[ 4.12866402 -0.21998085  1.19146788 -0.43284598  0.21016878 -0.21197622
  0.08044249  0.01075941  0.01843391  0.11102998 -0.00939188  0.11524373
  0.        ]"
tt10655524,[ 2.81794251 -5.20445848],[5.45281258 0.25043518],[3.81077324 0.57013902 0.15313459 0.        ],"[ 3.24125639e+00  9.19329468e-01 -1.24098877e-01 -9.79867951e-03
 -7.18480561e-02 -1.15251233e-03  0.00000000e+00]","[ 3.24294151 -0.31290984  1.40491663 -0.54817694  0.20820014 -0.37263675
  0.35157826  0.07874362  0.0129609   0.1369554   0.01138869  0.07309329
  0.        ]"
tt10661180,[ 2.55415653 -4.56655723],[6.28639557 0.03321579],[3.54255275 0.23632431 0.03772635 0.        ],"[ 2.82209822e+00  1.80042524e+00  5.24422910e-02 -2.69276159e-02
  6.91873913e-02 -9.34175747e-04  0.00000000e+00]","[ 3.16775813e+00 -5.83309279e-01  1.50320793e+00  7.42983630e-01
  9.76310645e-02 -7.14562950e-02  9.72677554e-03  5.53385820e-02
  5.10284149e-03  1.02387111e-03 -3.00555713e-03  6.14322665e-03
  0.00000000e+00]"
tt10665338,[ 1.98796265 -3.55983537],[4.55272883 0.03301655],[3.66575327 0.35307821 0.04081494 0.        ],"[ 4.59271897e+00  3.06763879e-01  1.08458168e-01 -6.60340011e-02
  3.89917631e-03  1.66726570e-03  0.00000000e+00]","[ 4.80596694e+00 -5.23013176e-01  1.18008439e+00 -6.82726012e-01
  3.58143822e-01 -1.41448843e-01  1.06197056e-02  3.84787649e-02
  5.56827832e-03  1.49972857e-02  1.93677256e-03  1.70269743e-03
  0.00000000e+00]"
tt10676048,[ 1.93593    -3.51731403],[4.47645031 0.09727805],[3.67281276 0.24152139 0.0812367  0.        ],"[ 4.93319431  0.24280315 -0.05704281 -0.09015306 -0.01064077  0.03403326
  0.        ]","[ 4.76559388e+00 -6.91632716e-02  7.55528263e-01 -3.29171554e-01
  1.48628678e-01 -2.02404636e-01  3.49223029e-02  2.03501223e-02
  9.34511159e-03  3.14383656e-02  2.05598725e-02  3.74749047e-03
  0.00000000e+00]"
